iter	Passed	Remaining
421	1831	2509
422	1835	2503
423	1838	2497
424	1842	2492
425	1846	2487
426	1849	2481
427	1853	2476
428	1856	2471
429	1860	2465
430	1863	2460
431	1867	2454
432	1870	2449
433	1874	2444
434	1877	2438
435	1881	2433
436	1885	2428
437	1889	2423
438	1892	2418
439	1896	2413
440	1900	2409
441	1904	2403
442	1907	2398
443	1911	2393
444	1914	2387
445	1918	2382
446	1921	2377
447	1924	2371
448	1928	2366
449	1931	2360
450	1934	2354
451	1937	2349
452	1941	2344
453	1944	2338
454	1948	2333
455	1951	2328
456	1955	2322
457	1958	2317
458	1962	2312
459	1965	2307
460	1968	2301
461	1972	2296
462	1975	2291
463	1979	2286
464	1982	2281
465	1986	2276
466	1990	2271
467	1993	2266
468	1998	2262
469	2002	2257
470	2005	2252
471	2009	2247
472	2012	2242
473	2016	2237
474	2019	2232
475	2022	2226
476	2026	2221
477	2030	2217
478	2035	2213
479	2040	2210
480	2044	2205
481	2048	2201
482	2054	2199
483	2058	2194
484	2064	2192
485	2069	2188
486	2073	2184
487	2078	2181
488	2082	2176
489	2086	2171
490	2090	2167
491	2096	2164
492	2100	2159
493	2106	2157
494	2109	2152
495	2113	2147
496	2117	2143
497	2120	2138
498	2125	2134
499	2129	2129
500	2132	2124
501	2135	2118
502	2139	2114
503	2143	2109
504	2147	2105
505	2152	2101
506	2156	2097
507	2160	2092
508	2165	2088
509	2171	2086
510	2174	2081
511	2179	2077
512	2183	2073
513	2189	2070
514	2193	2065
515	2198	2062
516	2202	2057
517	2207	2053
518	2210	2049
519	2215	2044
520	2219	2040
521	2222	2035
522	2226	2030
523	2231	2026
524	2234	2021
525	2237	2016
526	2241	2011
527	2245	2006
528	2248	2002
529	2251	1997
530	2255	1992
531	2259	1987
532	2262	1982
533	2266	1977
534	2269	1972
535	2274	1969
536	2278	1964
537	2282	1960
538	2286	1955
539	2290	1950
540	2294	1946
541	2298	1942
542	2301	1937
543	2306	1933
544	2310	1928
545	2313	1923
546	2317	1919
547	2322	1915
548	2326	1910
549	2330	1906
550	2335	1903
551	2340	1899
552	2343	1894
553	2347	1889
554	2351	1885
555	2354	1880
556	2358	1876
557	2362	1871
558	2367	1867
559	2371	1863
560	2375	1859
561	2380	1855
562	2385	1851
563	2389	1847
564	2394	1843
565	2401	1841
566	2405	1837
567	2410	1833
568	2414	1829
569	2418	1824
570	2423	1820
571	2431	1819
572	2435	1815
573	2442	1812
574	2448	1809
575	2453	1806
576	2458	1802
577	2464	1799
578	2468	1794
579	2471	1789
580	2479	1788
581	2482	1783
582	2487	1779
583	2494	1776
584	2497	1771
585	2503	1768
586	2507	1764
587	2510	1759
588	2518	1757
589	2522	1753
590	2529	1750
591	2534	1746
592	2539	1742
593	2544	1739
594	2548	1734
595	2555	1731
596	2558	1727
597	2561	1721
598	2566	1718
599	2571	1714
600	2574	1709
601	2579	1705
602	2583	1700
603	2587	1696
604	2593	1693
605	2598	1689
606	2608	1688
607	2612	1684
608	2617	1680
609	2621	1676
610	2625	1671
611	2632	1669
612	2636	1664
613	2641	1660
614	2645	1656
615	2649	1651
616	2652	1646
617	2656	1642
618	2660	1637
619	2664	1633
620	2668	1628
621	2672	1624
622	2676	1619
623	2679	1614
624	2682	1609
625	2686	1605
626	2689	1600
627	2694	1596
628	2698	1591
629	2701	1586
630	2706	1582
631	2711	1578
632	2715	1574
633	2720	1570
634	2723	1565
635	2726	1560
636	2731	1556
637	2738	1553
638	2741	1549
639	2747	1545
640	2751	1540
641	2756	1537
642	2760	1532
643	2764	1528
644	2768	1523
645	2772	1519
646	2777	1515
647	2781	1510
648	2785	1506
649	2789	1502
650	2793	1497
651	2797	1492
652	2800	1488
653	2803	1483
654	2808	1479
655	2812	1474
656	2815	1470
657	2819	1465
658	2823	1461
659	2827	1456
660	2831	1452
661	2835	1447
662	2839	1443
663	2843	1438
664	2847	1434
665	2850	1429
666	2853	1424
667	2858	1420
668	2862	1416
669	2866	1411
670	2870	1407
671	2875	1403
672	2879	1399
673	2884	1395
674	2888	1390
675	2892	1386
676	2896	1382
677	2901	1377
678	2905	1373
679	2910	1369
680	2914	1365
681	2918	1360
682	2922	1356
683	2926	1351
684	2929	1347
685	2934	1343
686	2939	1339
687	2942	1334
688	2947	1330
689	2951	1326
690	2955	1321
691	2960	1317
692	2964	1313
693	2967	1308
694	2971	1304
695	2975	1299
696	2978	1294
697	2981	1289
698	2985	1285
699	2988	1280
700	2991	1275
701	2994	1271
702	2998	1266
703	3002	1262
704	3005	1257
705	3009	1253
706	3014	1249
707	3018	1244
708	3021	1240
709	3028	1236
710	3033	1232
711	3039	1229
712	3044	1225
713	3048	1221
714	3053	1217
715	3057	1212
716	3064	1209
717	3069	1205
718	3072	1200
719	3078	1197
720	3082	1192
721	3086	1188
722	3090	1184
723	3094	1179
724	3097	1174
725	3101	1170
726	3105	1166
727	3108	1161
728	3112	1156
729	3115	1152
730	3119	1147
731	3123	1143
732	3126	1138
733	3129	1134
734	3132	1129
735	3136	1124
736	3139	1120
737	3142	1115
738	3146	1111
739	3149	1106
740	3153	1102
741	3156	1097
742	3159	1092
743	3163	1088
744	3166	1083
745	3169	1079
746	3172	1074
747	3176	1069
748	3179	1065
749	3183	1061
750	3187	1056
751	3190	1052
752	3194	1047
753	3197	1043
754	3201	1038
755	3204	1034
756	3207	1029
757	3210	1024
758	3214	1020
759	3217	1015
760	3220	1011
761	3222	1006
762	3226	1002
763	3230	997
764	3233	993
765	3236	988
